"unix_time","race","arstmade","lat","lng"
1311970200,"B","N",40.712531,-74.007665
1311805200,"B","N",40.70148,-74.012543
1311982680,"B","N",40.720628,-74.005209
1311270600,"B","N",40.725511,-74.004029
1311270600,"B","N",40.725511,-74.004029
1311715320,"W","N",40.705092,-74.016453
1311963300,"B","N",40.713135,-74.004058
1311920040,"B","N",40.711534,-74.010464
1311925620,"B","N",40.711534,-74.010464
1312048260,"Q","Y",40.719953,-74.008582
1311865800,"A","N",40.726356,-74.002056
1311866160,"W","N",40.722991,-74.002287
1311701700,"P","N",40.707387,-74.005482
1311703200,"B","Y",40.706935,-74.003686
1311438000,"B","N",40.70148,-74.012543
1311950160,"Q","N",40.716242,-74.006915
1311889020,"B","Y",40.71022,-74.007744
1311889020,"B","Y",40.71022,-74.007744
1311889020,"P","Y",40.71022,-74.007744
1310944440,"A","N",40.721438,-74.002377
1312145940,"W","N",40.718281,-74.003574
1312126200,"B","N",40.705867,-74.003765
1311814800,"B","N",40.709981,-74.006005
1311398100,"Q","N",40.706707,-74.00233
1311398100,"Q","N",40.706707,-74.00233
1311398100,"Q","N",40.706707,-74.00233
1312081800,"W","N",40.717188,-74.012892
1312081800,"P","N",40.717188,-74.012892
1312086420,"W","N",40.708529,-74.006189
1312102200,"B","N",40.705867,-74.003765
1312102200,"B","N",40.705867,-74.003765
1311971700,"Q","N",40.714362,-74.008386
1310060400,"Q","N",40.710368,-74.011232
1311457800,"B","Y",40.724633,-73.998585
1312037100,"B","N",40.720557,-74.00351
1312072500,"W","N",40.703588,-74.013113
1312134120,"W","N",40.71552,-74.009238
1312033200,"W","N",40.725511,-74.004029
1310675280,"B","N",40.71022,-74.007744
1310675280,"B","N",40.71022,-74.007744
1310669160,"B","N",40.71022,-74.007744
1311616500,"B","N",40.711534,-74.010464
1311190800,"B","N",40.71022,-74.007744
1311188700,"P","N",40.71022,-74.007744
1311190200,"W","N",40.71022,-74.007744
1310751900,"B","N",40.719722,-74.002359
1309500060,"B","N",40.722675,-73.98966
1309500060,"B","N",40.722675,-73.98966
1309500060,"B","N",40.722675,-73.98966
1309564440,"B","N",40.72379,-73.996377
1309603500,"A","N",40.713777,-73.993456
1309668480,"P","N",40.717922,-73.993095
1309679280,"B","N",40.719525,-73.993138
1309679280,"B","N",40.719525,-73.993138
1309679520,"B","N",40.719525,-73.993138
1309665600,"B","N",40.716541,-73.996984
1309500780,"B","N",40.722675,-73.98966
1309723500,"A","N",40.714365,-74.000454
1309534800,"B","N",40.713135,-74.004058
1309766220,"B","N",40.717008,-73.996706
1309772400,"P","N",40.71182,-73.996901
1309804200,"Z","N",40.710558,-73.994138
1309829400,"A","N",40.717614,-73.992106
1309829400,"A","N",40.717614,-73.992106
1309829400,"A","N",40.717614,-73.992106
1309829400,"A","N",40.717614,-73.992106
1309829400,"A","N",40.717614,-73.992106
1309829400,"A","N",40.717614,-73.992106
1309829400,"A","N",40.717614,-73.992106
1309834500,"B","N",40.7223,-73.997121
1309532280,"B","N",40.7223,-73.997121
1309908180,"B","N",40.718018,-73.999956
1309685640,"Q","N",40.71843,-74.00053
1309673460,"W","N",40.713135,-74.004058
1309671060,"Q","N",40.713135,-74.004058
1309668480,"W","N",40.713135,-74.004058
1309591200,"B","N",40.713135,-74.004058
1309820520,"B","N",40.722181,-73.990915
1309670280,"Q","N",40.713135,-74.004058
1309675620,"W","N",40.713135,-74.004058
1309630800,"B","N",40.725431,-73.99677
1310260800,"B","N",40.713135,-74.004058
1310259000,"B","N",40.713135,-74.004058
1310021520,"W","N",40.722401,-73.991648
1310021520,"P","N",40.722401,-73.991648
1310050500,"P","N",40.716654,-73.995815
1310057700,"A","Y",40.719124,-74.001486
1310065980,"W","N",40.711776,-73.992183
1310065980,"W","N",40.711776,-73.992183
1310172900,"B","N",40.720535,-73.994664
1310262000,"W","N",40.708798,-73.998438
1309882860,"B","N",40.718018,-73.999956
1309669020,"B","N",40.713135,-74.004058
1309683120,"B","N",40.719396,-74.001883
1310294580,"W","N",40.713135,-74.004058
1309982400,"P","N",40.718583,-73.991746
1310071800,"A","Y",40.714222,-73.994859
1310141520,"W","N",40.722072,-73.993351
1310386740,"Q","N",40.72258,-73.997759
1309977600,"B","N",40.718018,-73.999956
1309978920,"B","N",40.719396,-74.001883
1309978920,"B","N",40.719396,-74.001883
1309980300,"B","N",40.719396,-74.001883
1310393700,"B","N",40.709913,-73.99632
1310347200,"B","Y",40.709528,-73.996187
1310157480,"Q","Y",40.719401,-73.997554
1310525220,"B","N",40.720941,-73.992406
1310525220,"B","N",40.720941,-73.992406
1310422800,"W","Y",40.719322,-73.998888
1310422800,"W","Y",40.719322,-73.998888
1310422800,"W","Y",40.719322,-73.998888
1310526900,"B","N",40.718583,-73.991746
1310573880,"P","N",40.713689,-73.994585
1310593500,"B","N",40.719396,-74.001883
1310592600,"B","N",40.719396,-74.001883
1310590920,"B","N",40.719396,-74.001883
1310590200,"Q","N",40.719396,-74.001883
1310349000,"P","N",40.718144,-73.993827
1310347200,"B","N",40.718144,-73.993827
1310426400,"A","N",40.718144,-73.993827
1310652300,"B","N",40.713135,-74.004058
1310761800,"B","Y",40.719396,-74.001883
1310057400,"Q","N",NA,NA
1310611500,"Z","N",40.715001,-73.999628
1310709600,"Q","N",40.711856,-73.998827
1310771700,"W","N",40.7223,-73.997121
1310879400,"Q","N",40.710909,-73.992028
1310880600,"Q","Y",40.718827,-73.991634
1310894100,"W","N",40.724218,-73.994379
1310664900,"B","N",40.723062,-73.99045
1310877120,"B","N",40.717513,-73.991771
1310877120,"B","N",40.717513,-73.991771
1310581800,"P","Y",40.713673,-73.998156
1310858400,"Q","N",40.711683,-73.996847
1310685000,"P","N",40.725431,-73.99677
1310624400,"B","N",40.7223,-73.997121
1310624400,"B","N",40.7223,-73.997121
1310624400,"B","Y",40.7223,-73.997121
1310611500,"W","N",40.715001,-73.999628
1311011400,"B","N",40.719396,-74.001883
1311009900,"Q","N",40.71843,-74.00053
1311010800,"B","N",40.719396,-74.001883
1311014700,"B","N",40.719396,-74.001883
1311014700,"B","N",40.719396,-74.001883
1311015600,"Q","N",40.719396,-74.001883
1311016200,"B","N",40.719396,-74.001883
1310771400,"B","N",40.708798,-73.998438
1310794200,"W","Y",40.71182,-73.996901
1310771400,"Q","Y",40.708798,-73.998438
1310771400,"P","N",40.708798,-73.998438
1311090960,"Q","N",40.716198,-74.000137
1311090960,"Q","N",40.716198,-74.000137
1311040800,"W","N",40.714892,-73.999617
1311090900,"B","N",40.711609,-73.999859
1311090900,"B","N",40.711609,-73.999859
1311090900,"B","N",40.711609,-73.999859
1311090900,"B","N",40.711609,-73.999859
1311114900,"Q","Y",40.723908,-73.998048
1311114900,"Q","N",40.723908,-73.998048
1311092100,"Q","N",40.713135,-74.004058
1311017400,"P","N",40.718144,-73.993827
1311017400,"P","N",40.718144,-73.993827
1311017400,"P","N",40.718144,-73.993827
1311017400,"P","N",40.718144,-73.993827
1311017400,"P","N",40.718144,-73.993827
1311017820,"P","N",40.718144,-73.993827
1311028200,"B","N",40.719972,-73.992896
1311024900,"B","N",40.725431,-73.99677
1311168480,"W","N",40.723727,-73.994595
1311188400,"Q","N",40.716607,-73.99184
1311190800,"P","N",40.715633,-73.997536
1311190800,"A","N",40.715633,-73.997536
1311190800,"B","Y",40.715633,-73.997536
1311235680,"B","N",40.713135,-74.004058
1311232680,"B","N",40.71843,-74.00053
1311230220,"B","N",40.713135,-74.004058
1310740380,"B","N",40.71843,-74.00053
1310743320,"B","N",40.718018,-73.999956
1310677800,"W","N",40.71843,-74.00053
1311277200,"Q","N",40.719396,-74.001883
1311275580,"W","N",40.719396,-74.001883
1311283800,"B","N",40.719396,-74.001883
1311509700,"B","N",40.719396,-74.001883
1311021900,"B","N",40.716083,-74.001424
1311185580,"Q","N",40.723488,-73.997294
1311188100,"B","N",40.718751,-74.000995
1311217860,"Q","N",40.72163,-73.993524
1311235200,"W","Y",40.718457,-73.994808
1311513000,"P","N",40.719396,-74.001883
1311235200,"W","Y",40.719429,-73.995425
1311344700,"Q","N",40.721265,-73.99137
1311344700,"B","N",40.721265,-73.99137
1311307800,"Q","Y",40.722637,-73.996006
1311513000,"B","N",40.719396,-74.001883
1311365700,"B","N",40.722662,-73.997979
1311450900,"B","N",40.725431,-73.99677
1311474120,"Q","N",40.711785,-73.999545
1311400500,"B","N",40.722162,-73.989014
1311379980,"B","N",40.718144,-73.993827
1311378360,"B","N",40.718144,-73.993827
1311173100,"Z","N",40.718144,-73.993827
1311548280,"B","N",40.711785,-73.999545
1311640680,"A","N",40.723576,-73.998329
1311699600,"B","N",40.713135,-74.004058
1311694200,"A","N",40.715836,-73.994899
1311717600,"B","N",40.722659,-73.994025
1311719400,"Q","N",40.718729,-73.992247
1310751600,"Q","Y",40.723576,-73.998329
1311377940,"B","N",40.718144,-73.993827
1311379140,"B","N",40.718144,-73.993827
1311348600,"Q","N",40.718144,-73.993827
1311782400,"B","N",40.719396,-74.001883
1311781800,"B","N",40.719396,-74.001883
1311612900,"P","N",40.72177,-73.989566
1311612900,"Q","N",40.72177,-73.989566
1311612900,"P","N",40.72177,-73.989566
1309772700,"Q","Y",40.71182,-73.996901
1309772700,"P","Y",40.71182,-73.996901
