"uid","year","pct","ser_num","datestop","timestop","recstat","inout","trhsloc","perobs","crimsusp","perstop","typeofid","explnstp","othpers","arstmade","arstoffn","sumissue","sumoffen","compyear","comppct","offunif","officrid","frisked","searched","contrabn","adtlrept","pistol","riflshot","asltweap","knifcuti","machgun","othrweap","pf_hands","pf_wall","pf_grnd","pf_drwep","pf_ptwep","pf_baton","pf_hcuff","pf_pepsp","pf_other","radio","ac_rept","ac_inves","rf_vcrim","rf_othsw","ac_proxm","rf_attir","cs_objcs","cs_descr","cs_casng","cs_lkout","rf_vcact","cs_cloth","cs_drgtr","ac_evasv","ac_assoc","cs_furtv","rf_rfcmp","ac_cgdir","rf_verbl","cs_vcrim","cs_bulge","cs_other","ac_incid","ac_time","rf_knowl","ac_stsnd","ac_other","sb_hdobj","sb_outln","sb_admis","sb_other","repcmd","revcmd","rf_furt","rf_bulg","offverb","offshld","forceuse","sex","race","dob","age","ht_feet","ht_inch","weight","haircolr","eyecolor","build","othfeatr","addrtyp","rescode","premtype","premname","addrnum","stname","stinter","crossst","aptnum","city","state","zip","addrpct","sector","beat","post","xcoord","ycoord","dettypcm","linecm","detailcm","monthstop","daystop","yearstop","hourstop","minutestop","lng","lat","unix_time","X","ntaname","ntacode"
"I1642",2011,79,7,1022011,1208,"A","O","P",1,"ASSAULT",5,"V","Y","N","Y","ASSAULT","N"," ",0,0,"Y"," ","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y",79,79,"N","N"," "," ",NA,"M","B",12261978,32,5,8,200,"BK","BR","M"," ","R",NA,NA,"SIDEWALK"," "," ","THROOP AVENUE","MADISON STREET",NA,"BROOKLYN",NA,NA,79,"C","8",NA,1000476,189124,"CM",1,9,1,2,2011,12,8,-73.941494,40.685763,1293988080,1605,"Stuyvesant Heights","BK35"
"I1643",2011,14,12,1022011,1220,"1","I","T",4,"GRAND LARCENY",3,"V","Y","N","N"," ","N"," ",0,0,"N"," ","Y","Y","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","Y","Y","N","N","N","Y","N","N","N",861,861,"Y","N","V","S",NA,"M","B",12311900,33,5,10,160,"BK","BR","M"," ","R",NA,NA,"N505"," "," ","WEST 34 STREET","AVENUE OF THE AMERICAS",NA,"MANHATTAN",NA,NA,14,"C","7",NA,987636,212439,"CM",1,45,1,2,2011,12,20,-73.987779,40.749771,1293988800,1606,"Midtown-Midtown South","MN17"
"I1644",2011,105,13,1022011,1225,"A","O","P",1,"FEL",10,"P","Y","Y","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",105,105,"N","N"," "," ",NA,"M","Q",1121973,36,5,4,280,"BR","BR","H"," ","R",NA,NA," ","92-57","217 STREET","93 AVENUE","92 AVENUE",NA,"QUEENS",NA,NA,105,"K","25",NA,1056109,202264,"CM",1,14,1,2,2011,12,25,-73.740759,40.721552,1293989100,1607,"Queens Village","QN34"
"I1645",2011,105,12,1022011,1225,"A","O","P",1,"FEL",10,"P","Y","Y","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",105,105,"N","N"," "," ",NA,"M","Q",9141950,50,5,4,150,"BR","BR","M"," ","R",NA,NA,"HOUSE","92-57","217 STREET","93 AVENUE","92 AVENUE",NA,"QUEENS",NA,NA,105,"K","25",NA,1056109,202264,"CM",1,14,1,2,2011,12,25,-73.740759,40.721552,1293989100,1608,"Queens Village","QN34"
"I1646",2011,105,11,1022011,1227,"A","O","P",5,"FEL",10,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N",105,105,"N","N"," "," ",NA,"M","Q",10301964,46,6,0,180,"BR","BR","M"," ","R",NA,NA,"STREET/HOME","92-57","217 STREET","93 AVENUE","92 AVENUE",NA,"QUEENS",NA,NA,105,"K","25",NA,1056109,202264,"CM",1,14,1,2,2011,12,27,-73.740759,40.721552,1293989220,1609,"Queens Village","QN34"
"I1647",2011,83,56,1022011,1230,"A","O","P",2,"FELONY",5,"V","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","N",83,83,"N","N"," "," ",NA,"M","Q",12311900,20,5,7,170,"BK","BR","M"," ","R",NA,NA,"SIDEWALK"," "," ","JEFFERSON STREET","WILSON AVENUE",NA,"BROOKLYN",NA,NA,83,"F"," ",NA,1004120,195112,"CM",1,14,1,2,2011,12,30,-73.928337,40.702191,1293989400,1610,"Bushwick North","BK77"
"I1648",2011,20,22,1022011,1232,"A","I","P",1,"BURGLARY",5,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",20,20,"N","N"," "," ",NA,"M","A",3051972,38,5,6,160,"BK","BK","M"," ","R",NA,NA,"BANK","1886","BROADWAY","WEST 63 STREET","WEST 62 STREET",NA,"MANHATTAN",NA,NA,20,"A"," ",20,989197,220115,"CM",1,14,1,2,2011,12,32,-73.982139,40.770839,1293989520,1611,"Lincoln Square","MN14"
"I1649",2011,75,57,1022011,1235,"A","O","P",1,"FEL",5,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",165,165,"Y","N"," "," ",NA,"M","B",12311900,32,5,6,160,"BK","BR","M"," ","R",NA,NA,"STREET"," "," ","WYONA STREET","PITKIN AVENUE",NA,"BROOKLYN",NA,NA,75,"G"," ",NA,1013924,184237,"CM",1,85,1,2,2011,12,35,-73.893026,40.672314,1293989700,1612,"East New York","BK82"
"I1650",2011,46,16,1022011,1237,"A","O","P",1,"CPW",2,"V","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N",46,46,"N","N"," "," ",NA,"M","Q",8251989,21,5,7,140,"BK","BR","M"," ","R",NA,NA,"STREET"," "," ","EAST FORDHAM ROAD","WEBSTER AVENUE",NA,"BRONX",NA,NA,46,"D","1",NA,1014295,253237,"CM",1,20,1,2,2011,12,37,-73.89138,40.8617,1293989820,1613,"Fordham South","BX40"
"I1651",2011,60,23,1022011,1240,"1","O","H",3,"CPW FEL PSA#0016",5,"V","Y","N","N"," ","Y","C.A.P.",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N",801,801,"N","Y"," "," ",NA,"M","B",6261980,30,5,9,200,"BK","BR","M"," ","R",NA,NA,"SIDEWALK","30","AVENUE V","WEST 12 STREET","STILLWELL AVENUE",NA,"BROOKLYN",NA,NA,60,"I"," ",NA,988843,155569,"CM",1,20,1,2,2011,12,40,-73.983461,40.593675,1293990000,1614,"Gravesend","BK26"
